			Kierros1			Kierros2			Kierros3			Kierros4			Kierros5			Kierros6			Kierros7			Kierros8			Kierros9			Kierros10			Kierros11			Kierros12			Kierros13			Kierros14			Kierros15			Kierros16			Kierros17			Kierros18		
Tiimi	Pelaaja	Pts	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3	map1	map2	map3
NYKY	Atomix	155				7						5	8	5	2	7		5		5	1			10		1	4			5	4				4					4	10	8		9	5	3			3	10	9		6		10	5
Kiki	Vileria	153		9	5	1		7		7	7	3		8	5	3	8	6				4	9	10				9		2	8							7	9	8				1			4		4	1				8		
SK	Juku6.1	153	4	2			7		4			3		8	2					4	7	6	9	1	2	2				1			4	8				9			10	1		7	9	9		2	7			4	4		9	8
TOK	$T$	152	10	6		9		10		7		9			7									3		8										3			7		9	2		11	10	10	8	11		11	1					
Procyon II	Kala-Vale	151	1			1		1		9		7				8			5			1	9	4		7			10		2	8	7		8	6	1			10		3	2	9	1	1		9		6		3	5		7	
YK-joukot	jawi	146					1	8		2			7	9			5	2	5				4	7	3	1		10	7		3	10		7		5			2	1		11	10	5	2	1	6	9							1	2
Procyon II	Nikke	143	8		3	7	11		1		7							10		7			4		9	5											8		5		1		9	4	4	10	2	5			6			10		7
NYKY	Jari Pekka	141					10						1	3	3	4	1							9		10				1	8	9	2	1	2	8	8	3	11	7		10	1	10	3		10			3	3					
Procyon II	Lupu	141	10		1	9				1	5		5				8	1			2		9						4			6	6		5			10	8	8	6			2	6	2	10			7	10					
SK	jäppinen	141	1						3	2	10				11	3	4	2	3	1		5				8				2				9				2	8			7	5	6				10	9		7	1	10	9	3	
Procyon II	Tonza_888	140	7		6	10	5		3		8		6		3	1	7			10		7			6			8					3	10	10				8											4				7	8	3
Team Tylsäkaira	_jarppa_	139		8	3			3	5			6	5			4	9				2					2		10			11			6						5	5			10	5		2	1	2		9	10	3	3		10
NYKY	Nevi	137				2	6		2	3	2	8	1		6	2			4				7				10	3	6	6	1	5	1	6	4	5	10	9	6	8					1		1		7		4			1		
NYKY	Urheilukalastaja	131	2	1	10	10					4								8		5				8				9		6	6					5			5		9	2	1		2	8			7		8	5	7		3
Procyon II	Jymy	131		9	4	6		9											8	4	1			1		2		7		8	3			1			5	10					8	10			1		7			6	7	9		5
TSK	LäkeTheGreat	130	2			5	7	4					8	8	5			6	10	1	6	6		3			8	3	6																7	6	4	7	4	5		9				
PIPO	PuliSher	130	6	9	4		4	6	5	3		4	9		7				6	6			5			6	4	6			1	4	5	6		3	4					5			1						1		2			8
PIPO	Perza	125				3		9	7		6				7				1	2			2	8		2	1			2	8	5	7	1				6				9	1			10		11			4				3	10
NYKY	Memmu	124	3	3					11		5	4	4			5	2					5	1		1		2	9	9			3	4	8					8		8		4	4				1	6					6	8	
Procyon II	Fiskarna	123		6					10	6				9					10	1		5								10		3				10	10		4	9	3	5	7	1					5	9						
Kiki	Jägermaister	123	6	10	4								10	6	4		5			8	4				3				6						10		4		8	9					7					5	8		6			
YK-joukot	MarQu	123			2							2	9			7	3		3	11	2									5		6	10		6	9	7	6			3	2	5	2	10	6										7
PIPO	Anr	122		5		7	7	10		9	2					11	2		7	9		10			6	8																						6	7	9	7					
NYKY	Tössö	122	9	3	10	2	8							1				6	5			4	6	2	2				2		5		4			6								5	4	5			5	2		8	9	2		7
TSK	Anakondah Jr	121		9		4	9		1						1				6		3		2	1			6	1			7		6				9		5	6	6	1	10	5					9		6		8			
Team Tylsäkaira	Jokelan Pappa	117									9			7	9		8												5	9			8		4	10	2		9								9				10		10		8	
Kiki	Morgenstond	117	9			5	7	9	8	5					3	10	2																8	5	7	7	6	8					9											3	6	
TOK	oke	114	5					6		5				4	2		8	7			5		9			1	10	7	11			1			4				9	6	9								3	2						
Team Tylsäkaira	T2	114	8		2		3	2		4		10	1		5					8			7				10	1	2		4			2	1		6	1	10	6			4		3					5	1	3				5
Kiki	Firefox	114		2						9	10		3			5	10					6						10		3		5			1	10	2							10						6	4	9			3	6
YK-joukot	hannu33	111			3						10				6	8			2	3		1		2	7		5		3		6			2							6		1	8			2		7			8	9	7	4	1
SK	Sanna=)	110					9					6	5	9		6	6			2		4									5	10	10	1			8		9	3					1	2			4		2	2	1	5		
